	election	cmte_id	purpid	purpose	vendor	category	platform	category_recode	consult	digital	cand_id	cand_office	sup_opp	soc_media	exp_amo	cmte_nm	cmte_dsgn	cmte_tp	party_impute	fec_party	crp_party	party_combined	pacshort	recipcode	industry	name	crpico	recipcode_cand	office	state	cd	cand_support	source	transaction_amt	cand_name	cand_office_st	cand_office_district	cand_ici	cand_status	status_combined	ads_ind	tv	tv2	ads_ind2	ads_opp	ads_opp2	ads	ads2	presyear	commtype	prescomms	preselect	dig_source	dig_type	total	deflator	total12
837	2018.0	C00162578	199620.0	FACEBOOK BOOST ADS	FACEBOOK	digital	1.0	digital		1.0				1.0		WVDP	U	Y		1.0	1.0	1.0	West Virginia State Democratic Exec Cmte	DP	Z5200								1.0	100.98999786376953								0.0	0.0		1.0	1.0	1.0	1.0	0.0	5.0			2.0	1.0	0.00010099	110.32	9.154279e-05
838	2020.0	C00385773	157960.0	DIGITAL MEDIA FEE	INTERACTIVE NEW BLUE	digital	0.0	digital		1.0	H4FL20023	H		0.0		DEBBIE WASSERMAN SCHULTZ FOR CONGRESS	P	H		1.0	1.0	1.0	Debbie Wasserman Schultz for Congress	DW	Z1200	Debbie Wasserman Schultz (D)	I	DW	H	FL	23.0		1.0	115192.27026367188	WASSERMAN SCHULTZ, DEBBIE	FL	23.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	1.0	1.0	0.11519227	113.65	0.101357035
839	2016.0	C00594168	199437.0	FACEBOOK ADS EXPENDITURE	HORST JOHN H	digital	0.0	digital		1.0	H6CA52148	H		0.0		JOHN HORST WIN THE FUTURE CONGRESSIONAL CAMPAIGN COMMITTEE	P	H		2.0	2.0	2.0	John Horst Win The Future Congressional Campaign	RL	Z1100	John Horst (R)	C	RL	H	CA	52.0		1.0	250.0	HORST, JOHN H	CA	52.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2016.0	1.0	1.0	0.00025	105.74	0.000236429
840	2016.0	C00597112	387619.0	ONLINE ADVERTISING DRUGE REPORT	INTERMARKETS	digital	0.0	digital		1.0	H0NC08163	H		0.0		TIMD2016	P	H		2.0	2.0	2.0	TimD2016	RN	Z1100	Tim D'Annunzio (R)	C	RL	H	NC	8.0		1.0	5320.0	D'ANNUNZIO, TIMOTHY BRUCE	NC	8.0	C	P	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2016.0	1.0	1.0	0.00532	105.74	0.0050312085
841	2010.0	C90011990	289108.0	INTERNET AD CREATION	FLAPJACK CREATIVE	digital	0.0	digital		1.0	S4PA00121	S	S	0.0	1130.0	PENNSYLVANIA BUSINESS COUNCIL	U	I	2.0			2.0	Pennsylvania Business Council           	OB	G1300	Pat Toomey (R)	O	RW	S	PA			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	8.0			1.0	1.0	0.00113	96.17	0.0011750027
842	2016.0	C00341396	289204.0	INTERNET ADVERTISING	COLUMBIA ROAD MEDIA	digital	0.0	digital		1.0	S0FL00338	S	O	0.0	83.22000122070312	MOVEON.ORG POLITICAL ACTION	U	W	1.0		1.0	1.0	Moveon.org	PI	J1200	Marco Rubio (R)	I	RW	S	FL			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	6.0		2016.0	1.0	1.0	8.322e-05	105.74	7.8702484e-05
843	2020.0	C00010603	289204.0	INTERNET ADVERTISING	FEDEX OFFICE	digital	0.0	digital		1.0				0.0		DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE	U	Y		1.0	1.0	1.0	DNC Services Corp	DP	Z5200								1.0	1532.1199951171875								0.0	0.0		1.0	1.0	1.0	1.0	1.0	5.0		2020.0	1.0	1.0	0.00153212	113.65	0.0013481039
844	2020.0	C90019316	182614.0	ESTIMATE DIGITAL ADVERTISING JEFFREY PA	FACEBOOK	digital	1.0	digital		1.0	P80001571	P	O	1.0	34033.33	DEFENDING DEMOCRACY TOGETHER	U	I	1.0		1.0	1.0	Defending Democracy Together	OI	J1200	Donald Trump (R)	I	RL	P			2.0	2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	8.0		2020.0	2.0	1.0	0.03403333	113.65	0.029945735
845	2020.0	C00448373	156706.0	DIGITAL ADVERTISING	FACEBOOK	digital	1.0	digital		1.0				1.0		HUCK PAC	U	Q			2.0	2.0	Huck PAC	PI	J2400								1.0	50109.430485248566								0.0	0.0		1.0	1.0	1.0	1.0	1.0	6.0		2020.0	2.0	1.0	0.05010943	113.65	0.04409101
846	2018.0	C00592279	521493.0	SOCIAL MEDIA ADMINISTRATION	IRELAND ANDREW	digital	0.0	digital		1.0	H6IN08228	H		0.0		MOSS FOR CONGRESS	P	H		2.0	2.0	2.0	Moss for Congress	RL	Z1100	Richard Moss (R)	C	RL	H	IN	8.0		1.0	1000.0	MOSS, RICHARD MARC	IN	8.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	0.001	110.32	0.000906454
847	2020.0	C00487470	429595.0	PHONE TEXT COMMUNICATIONS FROM ADVANCE LINE	CLUB FOR GROWTH	digital	0.0	digital		1.0	H6TX12060	H	O	0.0	327.41	CLUB FOR GROWTH ACTION	U	O	2.0		2.0	2.0	Club for Growth Action	OI	J1100	Kay Granger (R)	I	RW	H	TX	12.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2020.0	1.0	1.0	0.00032741	113.65	0.00028808622
848	2016.0	C00577882	156829.0	DIGITAL ADVERTISING EXPENSES	FACEBOOK	digital	1.0	digital		1.0	H6MD06238	H		1.0		VOGT FOR MARYLAND	P	H		2.0	2.0	2.0	Vogt For Maryland	RL	Z1100	Dave Vogt (R)	C	RL	H	MD	6.0		1.0	691.8099975585938	VOGT, DAVID E III	MD	6.0	C	P	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2016.0	2.0	1.0	0.00069181	105.74	0.00065425574
849	2018.0	C00664623	12358.0	ADVERTISING	FACEBOOK	media	1.0	digital		1.0	S4NE00157	S		1.0		WATSON FOR SENATE	P	S		2.0	2.0	2.0	Watson for Senate	RL	Z1100	Todd Watson (R)	C	RL	S	NE			1.0	20397.580017089844	WATSON, TODD	NE	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	2.0			2.0	1.0	0.02039758	110.32	0.018489467
850	2016.0	C00624056	156508.0	DIGITAL AD PRODUCTION PLACEMENT HILLARY	NEW MEDIA FIRM	digital	0.0	digital		1.0	P00003392	P	S	0.0	58704.19140625	EDUCATORS FOR OHIO	U	O	1.0			1.0	Educators for Ohio	OL	L1300	Hillary Clinton (D)	O	DL	P			3.0	2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2016.0	1.0	1.0	0.05870419	105.74	0.055517487
851	2012.0	C00431445	386687.0	ON LINE ADVERTISING	BRIGHTTAG	digital	0.0	digital		1.0	P80003338	P		0.0		OBAMA FOR AMERICA	P	P		1.0	1.0	1.0	Obama for America	DW	Z1200	Barack Obama (D)	I	DW	P			4.0	1.0	7557.280029296875	OBAMA, BARACK	US	0.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	2012.0	1.0	1.0	0.0075572804	100.0	0.0075572804
852	2012.0	C00000935	255649.0	GENERIC CMTE ADVERTISING	TWITTER	media	1.0	digital		1.0				1.0		DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE	U	Y	1.0	1.0	1.0	1.0	Democratic Congressional Campaign Cmte	DP	Z5200								1.0	10582.29019165039								0.0	0.0		1.0	1.0	1.0	1.0	1.0	5.0		2012.0	2.0	1.0	0.01058229	100.0	0.01058229
853	2018.0	C00581330	612861.0	WEBSITE SOCIAL MEDIA	WALES VALENTINE	digital	0.0	digital		1.0	H6FL18121	H		0.0		CARLA SPALDING FOR CONGRESS	P	H		2.0	2.0	2.0	Carla Spalding for Congress	RL	Z1100	Carla Spalding (R)	C	RL	H	FL	23.0		1.0	1000.0	SPALDING, CARLA ARLENE	FL	18.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	0.001	110.32	0.000906454
854	2010.0	C00463687	12358.0	ADVERTISING	GOOGLE	media	1.0	digital		1.0	H0VA02084	H		1.0		SCOTT RIGELL FOR CONGRESS	P	H		2.0	2.0	2.0	Scott Rigell for Congress	RW	Z1100	Scott Rigell (R)	C	RW	H	VA	2.0		1.0	12200.0	RIGELL, EDWARD SCOTT MR.	VA	2.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.0122	96.17	0.012685869
855	2020.0	C00719708	13561.0	ADVERTISING DIGITAL	E STREET GROUP	digital	0.0	digital		1.0	P00006486	P	S	0.0	149512.48	MATH PAC	U	O	1.0		1.0	1.0	MATH PAC                                          	OI	J1200	Andrew Yang (D)	C	DL	P				2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2020.0	1.0	1.0	0.14951248	113.65	0.1315552
856	2020.0	C00727636	13977.0	ADVERTISING EXPENSES	FACEBOOK	media	1.0	digital		1.0	H0CA45160	H		1.0		GONZALES FOR CONGRESS 2020	P	H		2.0	2.0	2.0	Gonzales for Congress 2020	RL	Z1100	Christopher Gonzales (R)	C	RL	H	CA	45.0		1.0	3050.0	GONZALES, CHRISTOPHER JOHN	CA	45.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	2.0	1.0	0.00305	113.65	0.002683678
857	2020.0	C00498568	156706.0	DIGITAL ADVERTISING	PRECISION STRATEGIES	digital	0.0	digital		1.0	H2IL17071	H		0.0		FRIENDS OF CHERI BUSTOS	P	H		1.0	1.0	1.0	Friends of Cheri Bustos	DW	Z1200	Cheri Bustos (D)	I	DW	H	IL	17.0		1.0	417960.0	BUSTOS, CHERI	IL	17.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	1.0	1.0	0.41796	113.65	0.36776066
858	2014.0	C00193342	389289.0	ONLINE MEDIA	WERPOLITICS	digital	0.0	digital		1.0	S2KY00012	S		0.0		MCCONNELL SENATE COMMITTEE '14	P	S		2.0	2.0	2.0	McConnell Senate Cmte '14	RW	Z1100	Mitch McConnell (R)	I	RW	S	KY			1.0	55045.30859375	MCCONNELL, MITCH	KY	0.0	I	F	1.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	2.0			1.0	1.0	0.05504531	103.65	0.053106908
859	2012.0	C90008186	521939.0	SOCIAL MEDIA PLACEMENT	ANGLER	digital	0.0	digital		1.0	S2WI00219	S	O	0.0	4336.5	FOCUS ON THE FAMILY ACTION	U	I	2.0		2.0	2.0	CitizenLink	OI	J1110	Tammy Baldwin (D)	O	DW	S	WI			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	8.0		2012.0	1.0	1.0	0.0043365	100.0	0.0043365
860	2020.0	C00639591	156319.0	DIGITAL AD	FACEBOOK	digital	1.0	digital		1.0	H8NY15148	H		1.0		ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS	P	H		1.0	1.0	1.0	Alexandria Ocasio-Cortez for Congress	DW	Z1200	Alexandria Ocasio-Cortez (D)	I	DW	H	NY	14.0		1.0	2295.2000007629395	OCASIO-CORTEZ, ALEXANDRIA	NY	14.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	2.0	1.0	0.0022952	113.65	0.0020195337
861	2018.0	C00495861	366915.0	NON CONTRIBUTION ACCOUNT DIGITAL AD PRODUCTION ESTIMATE	LPS CAMPAIGNS	digital	0.0	digital		1.0	H8NM02156	H	O	0.0	406.1000061035156	PRIORITIES USA ACTION	U	V	1.0		1.0	1.0	Priorities USA Action	PI	J1200	Yvette Herrell (R)	O	RL	H	NM	2.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	0.0004061	110.32	0.00036811095
862	2012.0	C90011230	157081.0	DIGITAL ADVOCACYTINTERNET ADVERT WEBSITE	TARGETED VICTORY	digital	0.0	digital		1.0	H4IL15055	H	O	0.0	134710.0	AMERICAN ACTION NETWORK INC	U	I	2.0		2.0	2.0	American Action Network	OI	J1100	David Gill (D)	O	DL	H	IL	13.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	8.0		2012.0	1.0	1.0	0.13471	100.0	0.13471
863	2018.0	C00648493	157882.0	DIGITAL MEDIA BUY	BRADDOCK ROAD STRATEGIES	digital	0.0	digital		1.0	H8IL06139	H		0.0		CASTEN FOR CONGRESS	P	H		1.0	1.0	1.0	Casten for Congress	DW	Z1200	Sean Casten (D)	C	DW	H	IL	6.0		1.0	81939.21875	CASTEN, SEAN	IL	6.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	0.08193922	110.32	0.07427413
864	2020.0	C90017898	387579.0	ONLINE ADVERTISING CARBON EMISSIONS	FACEBOOK	digital	1.0	digital		1.0	P80001571	P	O	1.0	379.9999999999999	PROTECT OUR WINTERS ACTION FUND	U	I					Protect Our Winters Action Fund	OI	JE300	Donald Trump (R)	I	RL	P				2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	8.0		2020.0	2.0	1.0	0.00038	113.65	0.00033435988
865	2020.0	C00715516	13561.0	ADVERTISING DIGITAL	ORBIT INTERACTIVE	digital	0.0	digital		1.0	S0TX00282	S		0.0		YANCEY FOR U.S. SENATE	P	S		2.0	2.0	2.0	Yancey for US Senate	RL	Z1100	Mark Spencer Yancey (R)	C	RL	S	TX			1.0	850.0	YANCEY, MARK SPENCER	TX	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	2.0		2020.0	1.0	1.0	0.00085	113.65	0.00074791024
866	2018.0	C00658773	156662.0	DIGITAL ADVERSTISING	YOSEMITE CONSULTING	digital	0.0	digital		1.0	S8CA00408	S		0.0		KEVIN DE LEON FOR SENATE	P	S		1.0	1.0	1.0	Kevin De Leon for Senate	DL	Z1200	Kevin De Leon (D)	C	DL	S	CA			1.0	25000.0	DE LEON, KEVIN	CA	0.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	2.0			1.0	1.0	0.025	110.32	0.022661349
867	2020.0	C00657866	156319.0	DIGITAL AD	ADVICTORY	digital	0.0	digital		1.0	H0NC09187	H	S	0.0	15000.0	PROTECT FREEDOM POLITICAL ACTION COMMITTEE	U	O	2.0		2.0	2.0	Protect Freedom PAC	OI	J1100	Dan Bishop (R)	I	RW	H	NC	9.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	7.0		2020.0	1.0	1.0	0.015	113.65	0.013198416
868	2010.0	C00444703	17368.0	ADVERTISING WEBSITE HOSTING FEES	KEYSTONE STRATEGIES	digital	0.0	digital		1.0	H8PA07085			0.0		CRAIG WILLIAMS FOR CONGRESS	P	H		2.0	2.0	2.0	Craig Williams for Congress	RN	Z1100	Wendell Craig Williams (R)	 	RN	H	PA	7.0		1.0	2405.639892578125								0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	0.00240564	96.17	0.0025014454
869	2018.0	C00673467	199404.0	FACEBOOK ADS	FACEBOOK	digital	1.0	digital		1.0	H8CT05187	H		1.0		SANTOS FOR CONGRESS	P	H		2.0	2.0	2.0	Santos for Congress	RL	Z1100	Manny Santos (R)	O	RL	H	CT	5.0		1.0	310.3000020980835	SANTOS, MANNY	CT	5.0	O	C	3.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	0.00031029998	110.32	0.00028127263
870	2014.0	C00558205	606224.0	WEB ADS	CONNELL DONATELLI	digital	0.0	digital		1.0	H4CA31089	H		0.0		LESLI GOOCH FOR CONGRESS	P	H		2.0	2.0	2.0	Lesli Gooch for Congress	RL	Z1100	Lesli Gooch (R)	O	RL	H	CA	31.0		1.0	100.0	GOOCH, LESLI E MCCOLLUM	CA	31.0	O	C	3.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	1e-04	103.65	9.647853e-05
871	2018.0	C00495028	387520.0	ONLINE ADVERTISING	PRIORITIES USA ACTION	digital	0.0	digital		1.0				0.0		HOUSE MAJORITY PAC	U	O	1.0		1.0	1.0	House Majority PAC	OI	J1200								1.0	2775286.8984375								0.0	0.0		1.0	1.0	1.0	1.0	0.0	7.0			1.0	1.0	2.775287	110.32	2.5156698
872	2018.0	C90016155	156764.0	DIGITAL ADVERTISING BUY	S3 PUBLIC AFFAIRS	digital	0.0	digital		1.0	H8CO06138	H	S	0.0	35000.0	AMERICAN WIND ACTION	U	I	2.0			2.0	American Wind Action	OB	E1500	Mike Coffman (R)	I	RL	H	CO	6.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	8.0			1.0	1.0	0.035	110.32	0.031725887
873	2020.0	C00669960	387510.0	ONLINE ADVERTISEMENTS	BASECAMP STRATEGY	digital	0.0	digital		1.0	S0AZ00350	S	S	0.0	2261.0	WHEN DEMOCRATS TURN OUT PAC	U	Q	1.0		1.0	1.0	When Democrats Turn Out PAC	PI	J1200	Mark Kelly (D)	C	DW	S	AZ			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	6.0		2020.0	1.0	1.0	0.002261	113.65	0.0019894412
874	2010.0	C00459735	606109.0	WEB AD	FACEBOOK	digital	1.0	digital		1.0	H0CA48131	H		1.0		BETH KROM FOR CONGRESS	P	H		1.0	1.0	1.0	Beth Krom for Congress	DL	Z1200	Beth Krom (D)	C	DL	H	CA	48.0		1.0	40.0	KROM, BETH	CA	48.0	C	C	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			2.0	1.0	4e-05	96.17	4.159301e-05
875	2010.0	C00432260	176175.0	EMAIL COSTS FROM ADVANCE LINE	CLUB FOR GROWTH	digital	0.0	digital		1.0	S0FL00338	S	S	0.0	288.75	CLUB FOR GROWTH PAC	U	Q	2.0		2.0	2.0	Club for Growth	PI	J1100	Marco Rubio (R)	O	RW	S	FL			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	0.00028875	96.17	0.00030024955
876	2012.0	C00318931	289156.0	INTERNET ADS CC	GOOGLE	digital	1.0	digital		1.0	H6NY04112	H		1.0		FRIENDS OF CAROLYN MCCARTHY	P	H		1.0	1.0	1.0	Friends of Carolyn McCarthy	DW	Z1200	Carolyn McCarthy (D)	I	DW	H	NY	4.0		1.0	441.2900047302246	MCCARTHY, CAROLYN	NY	4.0	I	C	1.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2012.0	2.0	1.0	0.00044129	100.0	0.00044129
877	2006.0	C00346536	466683.0	PRODUCTION COSTFROM ADVANCE LINE	CLUB FOR GROWTH	digital	0.0	digital		1.0	H6MI03081	H	O	0.0	71.26000213623047	CLUB FOR GROWTH INC PAC	U	Q	1.0		2.0	2.0	Club for Growth	PI	J1100	Joe Schwarz (R)	I	RL	H	MI	7.0		2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	7.126e-05	90.2	7.9002224e-05
878	2018.0	C00389858	156546.0	DIGITAL ADS	PHUNWARE	digital	0.0	digital		1.0	S2NV00183	S	O	0.0	40000.0	FAIR AND BALANCED PAC	U	N	1.0		1.0	1.0	Fair & Balanced PAC	PI	J1200	Dean Heller (R)	I	RL	S	NV			2.0								1.0	0.0	0.0	1.0			1.0	1.0	0.0	6.0			1.0	1.0	0.04	110.32	0.036258157
879	2010.0	C00483305	609034.0	WEB SITE REVISIONS ADDITIONS	PATTERSON JULIE MS	digital	0.0	digital		1.0	H0TN05226	H		0.0		ELECT BOB SCHWARTZ	P	H		2.0	2.0	2.0	Elect Bob Schwartz	RL	Z1100	Bob Schwartz (R)	C	RL	H	TN	5.0		1.0	75.0	SCHWARTZ, BOB	TN	5.0	C	P	2.0		0.0	0.0		1.0	1.0	1.0	1.0	0.0	3.0			1.0	1.0	7.5e-05	96.17	7.79869e-05
880	2020.0	C00666594	199404.0	FACEBOOK ADS	FACEBOOK	digital	1.0	digital		1.0	H8MI10108	H		1.0		COMMITTEE TO ELECT KIMBERLY BIZON	P	H		1.0	1.0	1.0	Committee to Elect Kimberly Bizon	DL	Z1200	Kimberly Bizon (D)	O	DL	H	MI	10.0		1.0	96.56999778747559	BIZON, KIMBERLY ANN	MI	10.0	O	C	3.0		0.0	0.0		1.0	1.0	1.0	1.0	1.0	3.0		2020.0	2.0	1.0	9.657e-05	113.65	8.4971405e-05
881	2020.0	C00692319	156706.0	DIGITAL ADVERTISING	BREAK SOMETHING	digital	0.0	digital		1.0	S0KY00339	S	S	0.0	5658.73	VOTER PROTECTION PROJECT	U	W	1.0			1.0	Voter Protection Project                          	PI	J9000	Amy McGrath (D)	C	DL	S	KY			2.0								1.0	0.0	0.0	1.0			1.0	1.0	1.0	6.0		2020.0	1.0	1.0	0.00565873	113.65	0.0049790847
